,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num,is_correct
118,A,"The passage states that 23,764 square kilometers (9,174 sq mi) of Turkey is in Europe.","<explanation>The passage states that 23,764 square kilometers (9,174 sq mi) of Turkey is in Europe.</explanation>
<prediction>A</prediction>",39,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country. The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape. Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe. Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined. Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Question: How many square kilometers of Turkey’s total area are in Europe?

Options:
A) 9174  
B) 755688  
C) 1600  
D) 23764

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country. The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape. Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe. Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined. Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.",How many square kilometers of Turkey’s total area are in Europe?,9174,755688,1600,23764,4,False
119,,"The passage states that 23,764 square kilometers (9,174 sq mi) of Turkey's territory is in Europe.","<explanation>The passage states that 23,764 square kilometers (9,174 sq mi) of Turkey's territory is in Europe.</explanation>",39,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country. The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape. Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe. Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined. Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Question: How many square kilometers of Turkey’s total area are in Europe?

Options:
A) 9174  
B) 755688  
C) 1600  
D) 23764

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country. The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape. Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe. Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined. Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.",How many square kilometers of Turkey’s total area are in Europe?,9174,755688,1600,23764,4,
120,D,An open container of medication or toxic household chemicals is the best indication of internal poisoning.,"<prediction>D</prediction>
<explanation>An open container of medication or toxic household chemicals is the best indication of internal poisoning.</explanation>",40,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.

Question: According to the passage, which of the following would be the strongest indicator of internal poisoning?

Options:
A) Nausea and fever   
B) Vomiting and sweating  
C) Severe cramping and stomach pain  
D) A prescription pill bottle

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.","According to the passage, which of the following would be the strongest indicator of internal poisoning?",Nausea and fever ,Vomiting and sweating,Severe cramping and stomach pain,A prescription pill bottle,4,True
121,D,"The passage states that the best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Option D mentions a prescription pill bottle, which could be an open container of medication.","<explanation>The passage states that the best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Option D mentions a prescription pill bottle, which could be an open container of medication.</explanation>
<prediction>D</prediction>",40,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.

Question: According to the passage, which of the following would be the strongest indicator of internal poisoning?

Options:
A) Nausea and fever   
B) Vomiting and sweating  
C) Severe cramping and stomach pain  
D) A prescription pill bottle

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.","According to the passage, which of the following would be the strongest indicator of internal poisoning?",Nausea and fever ,Vomiting and sweating,Severe cramping and stomach pain,A prescription pill bottle,4,True
122,,"The passage states that the best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals, which would include a prescription pill bottle.","<explanation>The passage states that the best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals, which would include a prescription pill bottle.</explanation>",40,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.

Question: According to the passage, which of the following would be the strongest indicator of internal poisoning?

Options:
A) Nausea and fever   
B) Vomiting and sweating  
C) Severe cramping and stomach pain  
D) A prescription pill bottle

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.","According to the passage, which of the following would be the strongest indicator of internal poisoning?",Nausea and fever ,Vomiting and sweating,Severe cramping and stomach pain,A prescription pill bottle,4,
123,A,"The passage states that the crust is about 70 km thick on the near side and 100 km thick on the far side, indicating that the near side has a thicker crust.","<prediction>A</prediction>
<explanation>The passage states that the crust is about 70 km thick on the near side and 100 km thick on the far side, indicating that the near side has a thicker crust.</explanation>",41,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.

Question: According to the passage, which of the following statements accurately describes the Moon’s outer layer?

Options:
A) The near side has a thicker crust  
B) The crust is thinner under the highlands  
C) There may be less maria on the far side  
D) There may be less maria under the highlands

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
",The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,"According to the passage, which of the following statements accurately describes the Moon’s outer layer?",The near side has a thicker crust,The crust is thinner under the highlands,There may be less maria on the far side,There may be less maria under the highlands,3,False
124,A,"The passage states that the Moon's crust is about 70 km thick on the near side and 100 km thick on the far side. It also mentions that the crust is thinner under the maria and thicker under the highlands. Therefore, the near side of the Moon does have a thicker crust compared to the far side.","<explanation>The passage states that the Moon's crust is about 70 km thick on the near side and 100 km thick on the far side. It also mentions that the crust is thinner under the maria and thicker under the highlands. Therefore, the near side of the Moon does have a thicker crust compared to the far side.</explanation>
<prediction>A</prediction>",41,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.

Question: According to the passage, which of the following statements accurately describes the Moon’s outer layer?

Options:
A) The near side has a thicker crust  
B) The crust is thinner under the highlands  
C) There may be less maria on the far side  
D) There may be less maria under the highlands

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
",The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,"According to the passage, which of the following statements accurately describes the Moon’s outer layer?",The near side has a thicker crust,The crust is thinner under the highlands,There may be less maria on the far side,There may be less maria under the highlands,3,False
125,,"The passage states that the crust is thicker on the far side of the Moon, and that there may be more maria where the crust is thinner. Therefore, there may be fewer maria on the far side.","<explanation>The passage states that the crust is thicker on the far side of the Moon, and that there may be more maria where the crust is thinner. Therefore, there may be fewer maria on the far side.</explanation>",41,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.

Question: According to the passage, which of the following statements accurately describes the Moon’s outer layer?

Options:
A) The near side has a thicker crust  
B) The crust is thinner under the highlands  
C) There may be less maria on the far side  
D) There may be less maria under the highlands

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
",The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust. The crust is about 70 km thick on the near side and 100 km thick on the far side. It is thinner under the maria and thicker under the highlands. There may be more maria on the near side because the crust is thinner. It was easier for lava to rise up to the surface.,"According to the passage, which of the following statements accurately describes the Moon’s outer layer?",The near side has a thicker crust,The crust is thinner under the highlands,There may be less maria on the far side,There may be less maria under the highlands,3,
126,D,"Ayatollah Ali Khamenei described the country's dependency on oil as a trap, indicating that Iran should free itself from this reliance.","<prediction>D</prediction>
<explanation>Ayatollah Ali Khamenei described the country's dependency on oil as a trap, indicating that Iran should free itself from this reliance.</explanation>",42,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: ""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""

Question: In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?

Options:
A) Financial restrictions  
B) The Islamic revolution  
C) Foreign income  
D) A dependency on oil

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""","In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?",Financial restrictions,The Islamic revolution,Foreign income,A dependency on oil,4,True
127,D,"The passage states that Ayatollah Ali Khamenei described the country's dependency on oil as ""a trap"" and that the country should free itself from this dependency. This is supported by the fact that the Iranian economy receives 80% of its foreign income from crude oil exports, highlighting the country's reliance on this resource.","<explanation>The passage states that Ayatollah Ali Khamenei described the country's dependency on oil as ""a trap"" and that the country should free itself from this dependency. This is supported by the fact that the Iranian economy receives 80% of its foreign income from crude oil exports, highlighting the country's reliance on this resource.</explanation>
<prediction>D</prediction>",42,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: ""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""

Question: In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?

Options:
A) Financial restrictions  
B) The Islamic revolution  
C) Foreign income  
D) A dependency on oil

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""","In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?",Financial restrictions,The Islamic revolution,Foreign income,A dependency on oil,4,True
128,,"Ayatollah Ali Khamenei described the country's dependency on oil as ""a trap,"" indicating that he believes Iran should free itself from this reliance on oil.","<explanation>Ayatollah Ali Khamenei described the country's dependency on oil as ""a trap,"" indicating that he believes Iran should free itself from this reliance on oil.</explanation>",42,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: ""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""

Question: In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?

Options:
A) Financial restrictions  
B) The Islamic revolution  
C) Foreign income  
D) A dependency on oil

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","""The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect. They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income. In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day. The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as """"a trap"""" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.""","In Ayatollah Ali Khamenei’s opinion, what should the country of Iran free itself from?",Financial restrictions,The Islamic revolution,Foreign income,A dependency on oil,4,
129,D,"The passage states that plateaus in Rogaland and Agder are often referred to as ""hei"" and are characterized by treeless moorlands covered in heather.","<prediction>D</prediction>
<explanation>The passage states that plateaus in Rogaland and Agder are often referred to as ""hei"" and are characterized by treeless moorlands covered in heather.</explanation>",43,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: ""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""

Question: What is different about plateaus in Rogaland or Agder compared to the rest of Norway?

Options:
A) They have trees  
B) There are no fjords  
C) The plateaus are mostly even  
D) They are often covered in heather

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""",What is different about plateaus in Rogaland or Agder compared to the rest of Norway?,They have trees,There are no fjords,The plateaus are mostly even,They are often covered in heather,4,True
130,A,"In Rogaland and Agder, the plateaus are referred to as ""hei"" and are described as treeless moorlands, often covered in heather.","<explanation>In Rogaland and Agder, the plateaus are referred to as ""hei"" and are described as treeless moorlands, often covered in heather.</explanation>
<prediction>A</prediction>",43,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: ""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""

Question: What is different about plateaus in Rogaland or Agder compared to the rest of Norway?

Options:
A) They have trees  
B) There are no fjords  
C) The plateaus are mostly even  
D) They are often covered in heather

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""",What is different about plateaus in Rogaland or Agder compared to the rest of Norway?,They have trees,There are no fjords,The plateaus are mostly even,They are often covered in heather,4,False
131,,"The passage states that plateaus in Rogaland and Agder are often referred to as ""hei"", which means a treeless moorland covered in heather.","<explanation>The passage states that plateaus in Rogaland and Agder are often referred to as ""hei"", which means a treeless moorland covered in heather.</explanation>",43,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: ""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""

Question: What is different about plateaus in Rogaland or Agder compared to the rest of Norway?

Options:
A) They have trees  
B) There are no fjords  
C) The plateaus are mostly even  
D) They are often covered in heather

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","""Typical for Norway are steep fjords and valleys that suddenly give way to a high, more or less even plateau. These plateaus are often referred to as """"vidde"""" meaning a wide, open treeless space, a boundless expanse. In Rogaland and Agder they are usually called """"hei"""" meaning a treeless moorland often covered in heather.""",What is different about plateaus in Rogaland or Agder compared to the rest of Norway?,They have trees,There are no fjords,The plateaus are mostly even,They are often covered in heather,4,
132,D,"The passage emphasizes the importance of bedding and breakfast, with no mention of WiFi as a priority.","<prediction>D</prediction>
<explanation>The passage emphasizes the importance of bedding and breakfast, with no mention of WiFi as a priority.</explanation>",44,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form. At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast. Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed. Breakfast may include seasonal delights of the region or the host's speciality dish. The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.

Question: Based on the passage, which of the following amenities is not likely to be prioritized by a high end bed and breakfast?

Options:
A) Speciality menu items  
B) Unique antique furnishings  
C) Well maintained outdoor spaces  
D) Fast WiFi

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form. At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast. Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed. Breakfast may include seasonal delights of the region or the host's speciality dish. The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.","Based on the passage, which of the following amenities is not likely to be prioritized by a high end bed and breakfast?",Speciality menu items,Unique antique furnishings,Well maintained outdoor spaces,Fast WiFi,4,True
133,D,"The passage mentions that high-end bed and breakfasts prioritize luxurious bedding and breakfast options, as well as settings with antique furnishings and manicured grounds. While fast WiFi is not specifically mentioned, it is not listed as one of the main priorities for these establishments.","<explanation>The passage mentions that high-end bed and breakfasts prioritize luxurious bedding and breakfast options, as well as settings with antique furnishings and manicured grounds. While fast WiFi is not specifically mentioned, it is not listed as one of the main priorities for these establishments.</explanation>
<prediction>D</prediction>",44,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form. At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast. Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed. Breakfast may include seasonal delights of the region or the host's speciality dish. The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.

Question: Based on the passage, which of the following amenities is not likely to be prioritized by a high end bed and breakfast?

Options:
A) Speciality menu items  
B) Unique antique furnishings  
C) Well maintained outdoor spaces  
D) Fast WiFi

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form. At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast. Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed. Breakfast may include seasonal delights of the region or the host's speciality dish. The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.","Based on the passage, which of the following amenities is not likely to be prioritized by a high end bed and breakfast?",Speciality menu items,Unique antique furnishings,Well maintained outdoor spaces,Fast WiFi,4,True
