,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Parsed Answer,Parsed Explanation,Parsed Highlighted Context,Parsed Keywords
38,براساس گزارش‌ها، یک آپارتمان در خیابان مکبث به دلیل نشت گاز منفجر شد. پس از آنكه يكی از همسایه‌ها درباره نشت گاز تماس گرفت، يكی از مقام‌های شركت گاز در محل رویداد در حال ارائه گزارش بود. وقتی مقام رسمی از راه رسید، آپارتمان منفجر شد. هیچ مصدومیت عمده ای گزارش نشده است، اما حداقل پنج نفر در زمان انفجار در آن صحنه به دلیل علائم شوک تحت درمان قرار گرفتند. هیچ کس در آپارتمان حضور نداشت. در آن موقع، تقریباً 100 نفر از ساکنان آن منطقه از آنجا بیرون برده شده بودند.,چه کسی نشت گاز را گزارش داد؟,1,"<answer>1</answer>

<explanation>در متن گزارش آمده است که ""یکی از همسایه‌ها درباره نشت گاز تماس گرفت"". این نشان می‌دهد که یکی از ساکنان آپارتمان‌های اطراف، نشت گاز را گزارش داده است.</explanation>

<highlight>یکی از همسایه‌ها درباره نشت گاز تماس گرفت</highlight>

<keywords> [""نشت گاز""، ""همسایه""، ""آپارتمان""، ""گزارش""]</keywords>",یکی از همسایگان در آپارتمان,فردی که در آپارتمان زندگی می‌کرد,از مقام‌های شرکت گاز,مدیر آپارتمان,1,"در متن گزارش آمده است که ""یکی از همسایهها درباره نشت گاز تماس گرفت"". این نشان میدهد که یکی از ساکنان آپارتمانهای اطراف، نشت گاز را گزارش داده است.",یکی از همسایهها درباره نشت گاز تماس گرفت,"['""نشت گاز""، ""همسایه""، ""آپارتمان""، ""گزارش""']"
39,پس از صدها ساعت کار، رشته لامپ در نهایت می‌سوزد و لامپ دیگر کار نمی‌کند. سپس حباب لامپ باید تعویض گردد. هنگام تعویض حباب لامپ باید مراقب بود. ابتدا،‌ کلید متصل به لامپ باید خاموش گردد یا سیم آن قطع گردد. دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,هنگام تعویض لامپ، لمس کدام یک از موارد زیر می‌تواند خطرناک باشد؟,3,"<answer>3</answer>

<explanation>در متن گفته می‌شود که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب (پایه لامپ) می‌تواند شوک الکتریکی شدیدی ایجاد کند. بنابراین، لمس پایه لامپ هنگام تعویض آن می‌تواند خطرناک باشد.</explanation>

<highlight>الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.</highlight>

<keywords> ['لامپ', 'حباب', 'الکتریسیته', 'شوک', 'سوکت', 'فلزی', 'پایه'] </keywords>",رشته,کلید لامپ,پایه لامپ,سیم ,3,در متن گفته میشود که الکتریسیتهای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب (پایه لامپ) میتواند شوک الکتریکی شدیدی ایجاد کند. بنابراین، لمس پایه لامپ هنگام تعویض آن میتواند خطرناک باشد.,الکتریسیتهای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه میشود میتواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,"[""'لامپ'"", ""'حباب'"", ""'الکتریسیته'"", ""'شوک'"", ""'سوکت'"", ""'فلزی'"", ""'پایه'""]"
40,"به نظر می‌رسد که بزها ابتدا حدود 10,000 سال پیش در کوه‌های زاگرس ایران اهلی شده باشند. فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند. بزهای اهلی بطور کل بصورت گله‌ای روی تپه‌ها یا سایر مناطق چرا نگهداری می‌شدند و اغلب توسط بزچران‌هایی که اغلب کودک و نوجوان بودند مشابه چوپانان معمول تیمار می‌شدند. این روش‌های گله‌داری هنوز امروزه بکار می‌روند.",کدام یک از موارد زیر دلیلی بر نگهداری بز در فرهنگ‌های باستانی نبود؟,3,"<answer>2</answer>

<explanation>در متن اشاره شده که بزها برای دسترسی به شیر، پشم، گوشت و پوست نگهداری می‌شدند. هیچ اشاره‌ای به کوتاه کردن چمن‌ها به عنوان دلیلی برای نگهداری بزها نشده است.</explanation>

<highlight>فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند.</highlight>

<keywords>['بز', 'اهلی', 'کوه‌های زاگرس', 'ایران', 'فرهنگ باستانی', 'قبیله', 'شیر', 'پشم', 'گوشت', 'پوست', 'گله', 'تپه', 'چوپان', 'گله‌داری']</keywords>",امکان دسترسی به گوشت را فراهم می‌کردند,به کوتاه کردن چمن‌ها کمک می‌کردند,نقش همراه را داشتند,دسترسی به شیر را فراهم می‌کردند,2,در متن اشاره شده که بزها برای دسترسی به شیر، پشم، گوشت و پوست نگهداری میشدند. هیچ اشارهای به کوتاه کردن چمنها به عنوان دلیلی برای نگهداری بزها نشده است.,فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند.,"[""'بز'"", ""'اهلی'"", ""'کوههای زاگرس'"", ""'ایران'"", ""'فرهنگ باستانی'"", ""'قبیله'"", ""'شیر'"", ""'پشم'"", ""'گوشت'"", ""'پوست'"", ""'گله'"", ""'تپه'"", ""'چوپان'"", ""'گلهداری'""]"
41,ستارگان به دلیل انرژی ایجاد شده هنگام ادغام (یا ذوب شدن) اتم های هیدروژن برای ساخت عناصر سنگین تر، نور و گرما تولید می‌کنند. دانشمندان در تلاش هستند رآکتوری بسازند که به همان روش انرژی تولید کند. با این حال، حل این مشکل کار بسیار سختی است و تا ساخت راکتورهای مفید فیوژن سال‌ها طول خواهد کشید.,یک راکتور همجوشی کارامد کدام یک از موارد زیر را تولید خواهد کرد؟,4,"<answer>4</answer>

<explanation>در متن گفته می‌شود که ستارگان با ادغام اتم‌های هیدروژن، انرژی تولید می‌کنند. دانشمندان نیز در تلاشند راکتوری بسازند که به همین روش، یعنی ادغام اتمی، انرژی تولید کند. بنابراین، یک راکتور همجوشی کارآمد انرژی تولید خواهد کرد.</explanation>

<highlight>ستارگان با ادغام اتم‌های هیدروژن، انرژی تولید می‌کنند. دانشمندان در تلاش برای ساخت راکتوری هستند که به همین روش انرژی تولید کند.</highlight>

<keywords> ['راکتور همجوشی', 'انرژی', 'اتم', 'هیدروژن', 'ستاره'] </keywords>",هیدروژن,ستاره‌ها,اتم‌ها,انرژی,4,در متن گفته میشود که ستارگان با ادغام اتمهای هیدروژن، انرژی تولید میکنند. دانشمندان نیز در تلاشند راکتوری بسازند که به همین روش، یعنی ادغام اتمی، انرژی تولید کند. بنابراین، یک راکتور همجوشی کارآمد انرژی تولید خواهد کرد.,ستارگان با ادغام اتمهای هیدروژن، انرژی تولید میکنند. دانشمندان در تلاش برای ساخت راکتوری هستند که به همین روش انرژی تولید کند.,"[""'راکتور همجوشی'"", ""'انرژی'"", ""'اتم'"", ""'هیدروژن'"", ""'ستاره'""]"
42,یکی از شایع‌ترین مشکلات هنگام تبدیل کردن فیلم به قالب DVD بیرون زدن تصویر از کادر است. اکثر تلویزیون‌ها طوری ساخته شده‌است که مورد پسند مردم باشد. به آن دلیل، هر آنچه در تلویزیون مشاهده می‌کنید، کناره‌هایش از بالا، پایین و دو طرف برش خورده است. این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده می‌شود. به آن overscan گفته می‌شود. متأسفانه وقتی یک DVD می‌سازید، کناره‌هایش نیز به احتمال زیاد از کادر خارج می‌شود و اگر زیرنویس این ویدئو به پایین تصویر خیلی نزدیک باشد، کامل نشان داده نمی‌شوند.,چرا کناره تصاویر در تلویزیون برش خورده می‌شود؟,2,"<answer>2</answer>

<explanation>در متن گفته شده که تلویزیون‌ها طوری ساخته شده‌اند که مورد پسند مردم باشند و به همین دلیل کناره‌های تصویر برش خورده است تا تصویر به درستی در کل صفحه نمایش داده شود.</explanation>

<highlight>اکثر تلویزیون‌ها طوری ساخته شده‌است که مورد پسند مردم باشد. به آن دلیل، هر آنچه در تلویزیون مشاهده می‌کنید، کناره‌هایش از بالا، پایین و دو طرف برش خورده است. این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده می‌شود.</highlight>

<keywords>[""تلویزیون"", ""برش"", ""تصویر"", ""صفحه"", ""مردم"", ""پسند""]</keywords>",برای ایجاد امکان زیرنویس نوشتن,برای اینکه تصویر با کل صفحه تطبیق پیدا کند,برای ایجاد امکان تبدیل ساده به فرمت‌های دیگر,برای بیش از اندازه نزدیک به پایین برش خوردن زیرنویس‌ها,2,در متن گفته شده که تلویزیونها طوری ساخته شدهاند که مورد پسند مردم باشند و به همین دلیل کنارههای تصویر برش خورده است تا تصویر به درستی در کل صفحه نمایش داده شود.,اکثر تلویزیونها طوری ساخته شدهاست که مورد پسند مردم باشد. به آن دلیل، هر آنچه در تلویزیون مشاهده میکنید، کنارههایش از بالا، پایین و دو طرف برش خورده است. این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده میشود.,"['""تلویزیون""', '""برش""', '""تصویر""', '""صفحه""', '""مردم""', '""پسند""']"
43,روش بارز پرواز با صندلی فرست کلاس یا بیزینس این است که مبلغ هنگفتی را در ازای امتیاز بسلفید (یا بهتر اینکه می‌توانید به شرکتتان بگویید که ترتیب این کار را بدهد). با این حال، ارزان بدست نمی‌آید: یک قانون کلی می‌گوید می‌توان انتظار داشت تا چهار برابر کرایه عادی که برای حالت اقتصادی پرداخت می‌شود برای حالت تجاری و یازده برابر آن را برای درجه یک بپردازید! بطور کل، جستجوی تخفیف برای صندلی‌های بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایده‌ای ندارد. خطوط هوایی به خوبی می‌دانند که گروهی از مسافرین هوایی با شرایط اضطراری مایل به پرداخت پول زیاد برای دریافت مزیت سفر سریع و راحت می‌باشند و بر این اساس قیمت‌گذاری می‌کنند.,مطابق با متن، هنگام رزرو کلاس‌های بلیط مشخص، جستجو برای چه چیز وقت تلف کردن است؟,3,"<answer>3</answer>

<explanation>
در متن گفته می‌شود که «جستجوی تخفیف برای صندلی‌های بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایده‌ای ندارد». این بدین معناست که جستجو برای تخفیف در این کلاس‌های پروازی بی‌فایده است و وقت تلف کردن است.
</explanation>

<highlight>
«جستجوی تخفیف برای صندلی‌های بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایده‌ای ندارد.»
</highlight>

<keywords>
['پرواز', 'بیزینس', 'فرست کلاس', 'تخفیف', 'بی‌فایده']
</keywords>",پروازهای مستقیم,کلاس بیزینس,تخفیف‌ها,فرست کلاس,3,در متن گفته میشود که «جستجوی تخفیف برای صندلیهای بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایدهای ندارد». این بدین معناست که جستجو برای تخفیف در این کلاسهای پروازی بیفایده است و وقت تلف کردن است.,«جستجوی تخفیف برای صندلیهای بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایدهای ندارد.»,"[""'پرواز'"", ""'بیزینس'"", ""'فرست کلاس'"", ""'تخفیف'"", ""'بیفایده'""]"
44,آدام کوئردن، مدیر منابع مشترک، هنگام گفتگو با ویکی‌نیوز در ماه گذشته،‌ از این حذفیات ابراز سرخوردگی کرد. «او [ولز] از همان ابتدا به ما دروغ گفت. اول از همه، با وانمود کردن اینکه این به‌خاطر دلایل قانونی است. دوم، با وانمود کردن اینکه به حرف‌های ما گوش می‌کند، اما درست تا حذف هنرش پیش رفت.» خشم جامعه منجر به تلاش‌های جاری برای طرح سیاستی در خصوص محتوای جنسی برای این سایت شد که میزبان میلیون‌ها رسانه با دسترسی آزاد است.,کدام‌یک از موارد زیر دلیل سرخوردگی آدام کوئردن نیست؟,1,"<answer>1</answer>

<explanation>آدام کوردن از دروغ‌های ولز و حذف هنرش ابراز نارضایتی کرد. او همچنین از بی‌توجهی ولز به جامعه هنری گلایه داشت. اما نارضایتی او مربوط به خط‌مشی جدید سایت در خصوص محتوای جنسی نیست، بلکه بیشتر مربوط به تصمیم‌گیری‌های فردی ولز و نحوه برخورد او با جامعه هنری است.</explanation>

<highlight>آدام کوئردن، مدیر منابع مشترک، از دروغ‌های ولز و حذف هنرش ابراز نارضایتی کرد.</highlight>

<keywords> [""آدام کوئردن""، ""سرخوردگی""، ""دروغ""، ""حذف هنر""، ""بی‌توجهی""] </keywords>",خط‌مشی جدید سایت درخصوص محتوای جنسی,حذف هنر ولز,عدم توجه ولز,دروغ‌ها درباره دلیل حذف هنر,1,آدام کوردن از دروغهای ولز و حذف هنرش ابراز نارضایتی کرد. او همچنین از بیتوجهی ولز به جامعه هنری گلایه داشت. اما نارضایتی او مربوط به خطمشی جدید سایت در خصوص محتوای جنسی نیست، بلکه بیشتر مربوط به تصمیمگیریهای فردی ولز و نحوه برخورد او با جامعه هنری است.,آدام کوئردن، مدیر منابع مشترک، از دروغهای ولز و حذف هنرش ابراز نارضایتی کرد.,"['""آدام کوئردن""، ""سرخوردگی""، ""دروغ""، ""حذف هنر""، ""بیتوجهی""']"
45,طوفان استوایی دانیل، که چهارمین طوفان در فصل طوفان‌های اقیانوس اطلس در سال 2010 است، در اقیانوس اطلس شرقی شکل گرفته است. طوفان، که در فاصله تقریبی 3000 مایل از میامی، فلوریدا واقع شده است، حداکثر پایداری سرعت وزش باد 40 مایل بر ساعت (64 کیلومتر بر ساعت) را دارد. دانشمندان مرکز ملی طوفان پیش بینی می کنند که دانیل تا روز چهارشنبه تقویت می‌شود و به یک طوفان تبدیل می‌شود. از آنجا که طوفان بسیار دورتر از سطح زمین است، ارزیابی تأثیر احتمالی آن بر ایالات متحده یا کارائیب همچنان دشوار است.,چرا اندازه‌گیری تأثیر احتمالی طوفان استوایی دانیل چالش‌برانگیز است؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که طوفان دانیل در اقیانوس اطلس شرقی شکل گرفته و حدود 3000 مایل از میامی، فلوریدا فاصله دارد. همچنین، در ادامه بیان شده که به دلیل فاصله زیاد طوفان از خشکی، ارزیابی تأثیر احتمالی آن دشوار است. بنابراین، دلیل چالش‌برانگیز بودن اندازه‌گیری تأثیر طوفان دانیل، فاصله زیاد آن از خشکی است.</explanation>

<highlight>طوفان استوایی دانیل در اقیانوس اطلس شرقی شکل گرفته و حدود 3000 مایل از میامی، فلوریدا فاصله دارد. دانشمندان مرکز ملی طوفان می‌گویند که ارزیابی تأثیر احتمالی طوفان بر ایالات متحده یا کارائیب دشوار است، زیرا طوفان بسیار دور از خشکی است.</highlight>

<keywords>[""طوفان استوایی دانیل""، ""اقیانوس اطلس شرقی""، ""3000 مایل""، ""میامی فلوریدا""، ""فاصله از خشکی""، ""ارزیابی تأثیر""]</keywords>",پیش‌بینی می‌شود این طوفان به یک توفند شدت یابد,دانشمندان درباره پایداری سرعت وزش بادهای طوفان مطمئن نیستند,طوفان خیلی از خشکی فاصله دارد,طوفان فاصله خیلی زیادی از میامی دارد,3,در متن گفته شده که طوفان دانیل در اقیانوس اطلس شرقی شکل گرفته و حدود 3000 مایل از میامی، فلوریدا فاصله دارد. همچنین، در ادامه بیان شده که به دلیل فاصله زیاد طوفان از خشکی، ارزیابی تأثیر احتمالی آن دشوار است. بنابراین، دلیل چالشبرانگیز بودن اندازهگیری تأثیر طوفان دانیل، فاصله زیاد آن از خشکی است.,طوفان استوایی دانیل در اقیانوس اطلس شرقی شکل گرفته و حدود 3000 مایل از میامی، فلوریدا فاصله دارد. دانشمندان مرکز ملی طوفان میگویند که ارزیابی تأثیر احتمالی طوفان بر ایالات متحده یا کارائیب دشوار است، زیرا طوفان بسیار دور از خشکی است.,"['""طوفان استوایی دانیل""، ""اقیانوس اطلس شرقی""، ""3000 مایل""، ""میامی فلوریدا""، ""فاصله از خشکی""، ""ارزیابی تأثیر""']"
46,در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت. با این حال، چارلز به دانشگاه در کالج ترینیتی در کمبریج رفت و در آنجا به تحصیل مردم‌شناسی و باستان‌شناسی مشغول شد، و بعدها به تاریخ پرداخت و مدرک 2:2 (مدرک با درجه دوم پایین) را کسب کرد. «چارلز» اولین عضو از خانواده سلطنتی بریتانیا بود که به او مدرک تحصیلی داده شده است.,با توجه به متن، کدام مورد برای وارث تاج و تخت عادی در نظر گرفته می‌شود؟,2,"<answer>2</answer>

<explanation>در متن گفته شده است که در گذشته وارث تاج و تخت پس از ""اتمام تحصیل"" به سربازی می‌رفت. این به این معنی است که رفتن به سربازی پس از پایان یافتن تحصیلات عادی و مرسوم بوده است. بنابراین، گزینه 2 که اشاره به ترک دانشگاه برای رفتن به سربازی دارد، انتخاب صحیح است.</explanation>

<highlight>در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت.</highlight>

<keywords> [""وارث تاج و تخت""، ""سربازی""، ""اتمام تحصیل""] </keywords>",دریافت مدرک 2:2,رها کردن دانشگاه برای رفتن به سربازی,مطالعه تاریخ,تحصیل در دانشگاه پیش از رفتن به سربازی,2,"در متن گفته شده است که در گذشته وارث تاج و تخت پس از ""اتمام تحصیل"" به سربازی میرفت. این به این معنی است که رفتن به سربازی پس از پایان یافتن تحصیلات عادی و مرسوم بوده است. بنابراین، گزینه 2 که اشاره به ترک دانشگاه برای رفتن به سربازی دارد، انتخاب صحیح است.",در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی میرفت.,"['""وارث تاج و تخت""، ""سربازی""، ""اتمام تحصیل""']"
47,روز چهارشنبه، اتحادیه ملی بسکتبال ایالات متحده (NBA) به دلیل نگرانی در مورد کووید-19، فصل بسکتبال حرفه‌ای خود را به حالت تعلیق درآورد. تصمیم NBA به دنبال آزمایش مثبت ویروس کووید-19 بازیکن یوتا جاز بود.,NBA تصمیم به تعلیق کدام مورد زیر گرفت؟,1,"<answer>1</answer>

<explanation>در متن گفته شده که اتحادیه ملی بسکتبال (NBA) فصل بسکتبال حرفه‌ای خود را به حالت تعلیق درآورد. این تصمیم به دنبال مثبت شدن آزمایش کووید-19 یکی از بازیکنان تیم یوتا جاز گرفته شد.</explanation>

<highlight>اتحادیه ملی بسکتبال ایالات متحده (NBA) فصل بسکتبال حرفه‌ای خود را به حالت تعلیق درآورد.</highlight>

<keywords> [""اتحادیه ملی بسکتبال""، ""فصل بسکتبال""، ""کووید-19""، ""یوتا جاز""] </keywords>",فصل بسکتبال,یک بازیکن از یوتا جاز,هر بازیکنی که تست کووید-19 او مثبت شد,تیم بسکتبال یوتا جاز,1,در متن گفته شده که اتحادیه ملی بسکتبال (NBA) فصل بسکتبال حرفهای خود را به حالت تعلیق درآورد. این تصمیم به دنبال مثبت شدن آزمایش کووید-19 یکی از بازیکنان تیم یوتا جاز گرفته شد.,اتحادیه ملی بسکتبال ایالات متحده (NBA) فصل بسکتبال حرفهای خود را به حالت تعلیق درآورد.,"['""اتحادیه ملی بسکتبال""، ""فصل بسکتبال""، ""کووید-19""، ""یوتا جاز""']"
48,پس از آنکه مشخص شد بسیاری از خانواده‌ها به دنبال کمک حقوقی برای جلوگیری از اخراج هستند، جلسه‌ای در تاریخ 20 مارس در «مرکز حقوق عام خلیج شرقی» برای مالباختگان کلاهبرداری مسکن برگزار شد. وقتی اجاره‌نشین‌ها شروع به درمیان گذاشتن چیزی کردند که برای آنها اتفاق افتاده بود، اکثر خانواده‌های درگیر ناگهان متوجه شدند که کارولین ویلسون از OHA پول‌پیش آن‌ها را به سرقت برده و از شهر متواری شده است. مستاجرین در باغ لاک وود بر این باورند که ممکن است 40 خانواده یا تعداد بیشتری با حکم اخراج روبرو شوند، زیرا دریافتند که پلیس OHA در حال بررسی سایر املاک مسکونی عمومی‌ در اوکلند است که ممکن است در دام کلاهبرداری مسکن گرفتار شده باشند.,مطابق با آنچه در متن بیان شد، کارولین ویلسون قبل از ترک شهر برای چه کسانی کار می‌کرد؟,3,"<answer>3</answer>

<explanation>در متن گفته شده کارولین ویلسون از OHA پول پیش خانواده‌ها را به سرقت برده و از شهر فرار کرده است. این نشان می‌دهد کارولین ویلسون قبل از ترک شهر برای OHA کار می‌کرده است.</explanation>

<highlight>وقتی اجاره‌نشین‌ها شروع به درمیان گذاشتن چیزی کردند که برای آنها اتفاق افتاده بود، اکثر خانواده‌های درگیر ناگهان متوجه شدند که کارولین ویلسون از OHA پول‌پیش آن‌ها را به سرقت برده و از شهر متواری شده است.</highlight>

<keywords>کارولین ویلسون، OHA، پول پیش، سرقت، فرار از شهر</keywords>",مرکز حقوق عام خلیج شرقی,پلیس اوکلند,OHA,باغ‌های لاک‌وود,3,در متن گفته شده کارولین ویلسون از OHA پول پیش خانوادهها را به سرقت برده و از شهر فرار کرده است. این نشان میدهد کارولین ویلسون قبل از ترک شهر برای OHA کار میکرده است.,وقتی اجارهنشینها شروع به درمیان گذاشتن چیزی کردند که برای آنها اتفاق افتاده بود، اکثر خانوادههای درگیر ناگهان متوجه شدند که کارولین ویلسون از OHA پولپیش آنها را به سرقت برده و از شهر متواری شده است.,[]
49,مسافران ممکن است با انواعی از حیوانات موذی مواجه شوند که در مناطق بومی خودشان با آنها آشنایی نداشته‌اند. حیوانات موذی غذا را خراب می‌کنند، سبب آزار و اذیت می‌شوند یا در حالت بدتر سبب واکنش‌های حساسیت‌زا می‌شوند، زهر خود را پخش می‌کنند یا باعث انتقال عفونت‌ها می‌شوند. خود بیماری‌های عفونی یا حیوانات خطرناکی که می‌توانند افراد را با قدرت خود مجروح کنند یا بکشند، معمولاً با عنوان بلایا توصیف نمی‌شوند.,انجام کدام‌یک از موارد زیر احتمالاً از یک حیوان موذی بعید است؟,4,"<answer>4</answer>

<explanation>حیوانات موذی ممکن است باعث انتقال عفونت شوند، اما بعید است که باعث جراحت‌های شدید شوند. جراحت‌های شدید معمولاً با حیوانات خطرناک و قدرتمندتر مرتبط است که در متن به آنها اشاره شده است.</explanation>

<highlight>خود بیماری‌های عفونی یا حیوانات خطرناکی که می‌توانند افراد را با قدرت خود مجروح کنند یا بکشند، معمولاً با عنوان بلایا توصیف نمی‌شوند.</highlight>

<keywords> ['حیوانات موذی', 'خراب کردن غذا', 'آزار و اذیت', 'واکنش‌های حساسیت‌زا', 'زهر', 'عفونت', 'حیوانات خطرناک', 'جراحت', 'بیماری‌های عفونی'] </keywords>",سبب جوش زدن شدن,حساسیت‌های پوستی,انتقال عفونت,سبب جراحت‌های شدید شدن,4,حیوانات موذی ممکن است باعث انتقال عفونت شوند، اما بعید است که باعث جراحتهای شدید شوند. جراحتهای شدید معمولاً با حیوانات خطرناک و قدرتمندتر مرتبط است که در متن به آنها اشاره شده است.,خود بیماریهای عفونی یا حیوانات خطرناکی که میتوانند افراد را با قدرت خود مجروح کنند یا بکشند، معمولاً با عنوان بلایا توصیف نمیشوند.,"[""'حیوانات موذی'"", ""'خراب کردن غذا'"", ""'آزار و اذیت'"", ""'واکنشهای حساسیتزا'"", ""'زهر'"", ""'عفونت'"", ""'حیوانات خطرناک'"", ""'جراحت'"", ""'بیماریهای عفونی'""]"
