,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
475,جودوکار ژاپنی هیتوشی سایتو، برنده دو مدال طلای المپیک، در 54 سالگی از دنیا رفته است. علت مرگش سرطان مجرای صفراوی داخل کبدی اعلام شد. او سه‌شنبه در اوزاکا درگذشت. همچنین به عنوان یک قهرمان اسبق المپیک و جهان، سایتو در زمان مرگش، رئیس کمیته آموزش فدراسیون جودو ژاپن بود.,کدام یک از موارد زیر جزو افتخارات هیتوشی سایتو نیست؟,1,1,دو مرتبه قهرمانی جهان,رياست کمیته آموزش فدراسیون جودو ژاپن,دو مرتبه برنده مدال طلای المپیک,متخصص جودو,True
476,ایوازاکی در طی سفر خود، در بسیاری از موقعیت‌ها دچار دردسر شد. او مورد حمله دزدان دریایی قرار گرفت، یک سگ هار در تبت به او حمله کرد، از ازدواج در نپال فرار کرد و در هندوستان دستگیر شد.,ایوازاکی کجا توانست از پیمان بستن فرار کند؟,2,2,ژاپن,نپال,هند,تبت,True
477,ایوازاکی در طی سفر خود، در بسیاری از موقعیت‌ها دچار دردسر شد. او مورد حمله دزدان دریایی قرار گرفت، یک سگ هار در تبت به او حمله کرد، از ازدواج در نپال فرار کرد و در هندوستان دستگیر شد.,چه کسی به ایوازاکی حمله کرد؟,3,3,همسر احتمالی وی,دزدان دریایی,سگ,پلیس,True
478,جانکارلو فیزیکلا کنترل خودروی خودش را از دست داد و مدت کمی پس از شروع از مسابقه خارج شد. هم تیمی او فرناندو آلونسو در بیشتر مسابقه در صدر جدول قرار داشت، اما بلافاصله بعد از پیت استاپ او، احتمالاً به دلیل برخورد شدید چرخ جلوی سمت راست این جایگاه را از دست داد. «مایکل شوماخر» مدت کمی پس از «آلونسو» مسابقه‌اش را خاتمه داد که بدلیل آسیب سیستم تعلیق در طی نبردهای متعدد در طول مسابقه بوده است.,آلونسو چه زمانی از مسابقه خارج شد؟,2,2,بعد از اینکه شوماخر به چرخ جلویش آسیب زد,فیزیکلا کنترل خودرویش را از دست داد,پس از اینکه شوماخر به مسابقه خود پایان داد,پیش از قرار گرفتن در صدر جدول,True
479,جانکارلو فیزیکلا کنترل خودروی خودش را از دست داد و مدت کمی پس از شروع از مسابقه خارج شد. هم تیمی او فرناندو آلونسو در بیشتر مسابقه در صدر جدول قرار داشت، اما بلافاصله بعد از پیت استاپ او، احتمالاً به دلیل برخورد شدید چرخ جلوی سمت راست این جایگاه را از دست داد. «مایکل شوماخر» مدت کمی پس از «آلونسو» مسابقه‌اش را خاتمه داد که بدلیل آسیب سیستم تعلیق در طی نبردهای متعدد در طول مسابقه بوده است.,چه چیزی باعث شد که شوماخر مسابقه‌اش را زودهنگام خاتمه دهد؟,4,4,وی کنترل خودرویش را از دست داد,تصادف با آلونسو,صدمه به چرخ توسط فیزیکلا,آسیب به سیستم تعلیق خودرو,True
480,در 3 ماه اخیر، بیش از 80 فرد بازداشتی بدون اینکه رسماً تفهیم اتهام شوند، از مرکز رزرو مرکزی آزاد شده‌اند. در آپریل امسال، دستور موقتی توسط قاضی گلین علیه مرکز صادر شد مبنی بر آزادی زندانیانی که بیش از 24 ساعت در بازداشت هستند و پرونده آنها توسط کمیسر دادگاه رسیدگی نشده است. در صورت توافق، کمیسیونر وثیقه تعیین می‌کند و اتهامات بایگانی شده توسط مأمور دستگیری را رسمیت می‌بخشد. این اتهامات سپس وارد سیستم کامپیوتری دولت شده و از آنجا این پرونده پیگیری می‌شود. جلسه دادرسی همچنین تاریخی را مشخص می‌کند که مظنون حق محاکمه سریع را خواهد داشت.,با توجه به متن، تعیین وثیقه برای دستگیرشدگان وظیفه کیست؟,4,4,افسر دستگیری,قاضی گلین,اداره رزرو مرکزی,کمیسیونر دادگاه,True
481,در 3 ماه اخیر، بیش از 80 فرد بازداشتی بدون اینکه رسماً تفهیم اتهام شوند، از مرکز رزرو مرکزی آزاد شده‌اند. در آپریل امسال، دستور موقتی توسط قاضی گلین علیه مرکز صادر شد مبنی بر آزادی زندانیانی که بیش از 24 ساعت در بازداشت هستند و پرونده آنها توسط کمیسر دادگاه رسیدگی نشده است. در صورت توافق، کمیسیونر وثیقه تعیین می‌کند و اتهامات بایگانی شده توسط مأمور دستگیری را رسمیت می‌بخشد. این اتهامات سپس وارد سیستم کامپیوتری دولت شده و از آنجا این پرونده پیگیری می‌شود. جلسه دادرسی همچنین تاریخی را مشخص می‌کند که مظنون حق محاکمه سریع را خواهد داشت.,با توجه به قرار منع موقت مذکور در متن، بازداشت‌شدگان برای بازداشت بیش از 24 ساعت باید از چه حقی برخوردار باشند؟,4,4,وثیقه,جلسه با افسر دستگیری,تفهیم اتهام رسمی توسط قاضی گلین,دادرسی,True
482,همچنین لودین گفت مقامات تصمیم گرفتند رقابت بیشتر را لغو کنند تا در هزینه‌ها و ریسک‌های امنیتی یک انتخابات دیگر برای افغان‌ها صرفه‌جویی کنند. دیپلمات‌ها گفتند که آنها در قانون اساسی افغانستان ابهام کافی پیدا کرده‌اند تا برگزاری دور دوم را غیر ضروری بدانند. این با گزارش‌های قبلی در تناقض است که گفته می‌شود لغو رقابت نهایی مخالف قانون اساسی بوده است.,مطابق با متن، کدام دلیل برای توضیح لغو رقابت نهایی استفاده نشده است؟,2,2,ریسک‌های امنیتی,تناقض با قانون اساسی,مخارج بالا,ابهام قانونی اساسی,True
483,همچنین لودین گفت مقامات تصمیم گرفتند رقابت بیشتر را لغو کنند تا در هزینه‌ها و ریسک‌های امنیتی یک انتخابات دیگر برای افغان‌ها صرفه‌جویی کنند. دیپلمات‌ها گفتند که آنها در قانون اساسی افغانستان ابهام کافی پیدا کرده‌اند تا برگزاری دور دوم را غیر ضروری بدانند. این با گزارش‌های قبلی در تناقض است که گفته می‌شود لغو رقابت نهایی مخالف قانون اساسی بوده است.,چرا دیپلمات‌ها رقابت نهایی را در نهایت غیرضروری دانستند؟,3,3,خلاف قانون اساسی پیش رفت ,ریسک‌های امنیتی وجود داشت,ابهامی در قانون اساسی وجود داشت,انتخابات خیلی پرهزینه بود,True
484,از زمان استقلال پاکستان از حاکمیت انگلیس در سال 1947، رئیس جمهور پاکستان «نمایندگان سیاسی» را برای اداره FATA منصوب کرد، که کنترل مستقل بر مناطق را انجام می‌دهد. این نهادها مسئولیت ارائه خدمات دولتی و قضایی را طبق ماده 247 قانون اساسی پاکستان به عهده دارند.,چه کسی خدمات قضایی برای FATA ارائه می‌دهد؟,2,2,دولت پاکستان,نهادهای سیاسی,رئیس جمهور پاکستان,دولت بریتانیا,True
485,از زمان استقلال پاکستان از حاکمیت انگلیس در سال 1947، رئیس جمهور پاکستان «نمایندگان سیاسی» را برای اداره FATA منصوب کرد، که کنترل مستقل بر مناطق را انجام می‌دهد. این نهادها مسئولیت ارائه خدمات دولتی و قضایی را طبق ماده 247 قانون اساسی پاکستان به عهده دارند.,کدام‌یک از عبارات زیر درباره «نهادهای سیاسی» FATA صحیح نیست؟,4,4,آنها خدمات قضایی ارائه می‌دهند,آنها توسط رئیس جمهور پاکستان انتخاب شدند,آنها پایبند قانون اساسی پاکستان هستند,آنها کنترل کامل بر مناطق خاص دارند,True
486,این فیلم با بازی رایان گاسلینگ و اما استون در تمام دسته‌بندی‌های اصلی کاندید شد. گوسلینگ و استون به ترتیب نامزد بهترین بازیگر مرد و بازیگر زن شدند. نامزدهای دیگر شامل بهترین تصویر، کارگردان، فیلمبرداری، طراحی صحنه و لباس، ویرایش فیلم، امتیاز اصلی، طراحی تولید، ویرایش صدا، ترکیب صدا و فیلمنامه اصلی است. دو ترانه از این فیلم با نام‌های «شنوایی» (احمق‌هایی که رویا می‌بینند) و «شهر ستارگان»، نامزد دریافت بهترین آهنگ اصلی شدند. نامزدههای استودیوی Lionsgate 26 بیشتر از هر استودیوی دیگری بود.,«اما استون» نامزد چه جوایزی شد؟,3,3,بهترین بازیگر زن حمایت‌کننده,بهترین کارگردان,بهترین بازیگر زن,بهترین ویرایش فیلم,True
487,این فیلم با بازی رایان گاسلینگ و اما استون در تمام دسته‌بندی‌های اصلی کاندید شد. گوسلینگ و استون به ترتیب نامزد بهترین بازیگر مرد و بازیگر زن شدند. نامزدهای دیگر شامل بهترین تصویر، کارگردان، فیلمبرداری، طراحی صحنه و لباس، ویرایش فیلم، امتیاز اصلی، طراحی تولید، ویرایش صدا، ترکیب صدا و فیلمنامه اصلی است. دو ترانه از این فیلم با نام‌های «شنوایی» (احمق‌هایی که رویا می‌بینند) و «شهر ستارگان»، نامزد دریافت بهترین آهنگ اصلی شدند. نامزدههای استودیوی Lionsgate 26 بیشتر از هر استودیوی دیگری بود.,فیلم نامزد چه جایزه‌ای نشد؟,2,2,بهترین تصویر,بهترین جلوه‌های بصری,بهترین ترکیب صدا,بهترین آهنگ اصلی,True
488,NHK همچنین گزارش داد که نیروگاه هسته ای کاشیوازاکی کاریوا در استان نیگاتا به طور عادی مشعول به کار بود. شركت برق هوکوریکو هیچ تاثیری از زلزله را گزارش نکرد اینکه راكتور شماره 1 و 2 آن در نيروگاه هسته اي شيكا را خاموش كرده است. طبق گزارشات حدود 9400 خانه در منطقه از آب محروم هستند و تقریباً 100 خانه برق ندارند. برخی از جاده‌ها آسیب دیده‌اند، سرویس راه‌آهن در مناطق آسیب دیده متوقف شده و فرودگاه نوتو در ایشیکاوا همچنان تعطیل است.,پس از زلزله کدام‌یک از موارد زیر قابل استفاده بود؟,4,4,تمام راکتورها در نیروگاه شیکا در هوکوریکو,فرودگاه در ایشیکاوا,تمام سرویس راه‌آهن,یک نیروگاه در نیگاتا,True
489,NHK همچنین گزارش داد که نیروگاه هسته ای کاشیوازاکی کاریوا در استان نیگاتا به طور عادی مشعول به کار بود. شركت برق هوکوریکو هیچ تاثیری از زلزله را گزارش نکرد اینکه راكتور شماره 1 و 2 آن در نيروگاه هسته اي شيكا را خاموش كرده است. طبق گزارشات حدود 9400 خانه در منطقه از آب محروم هستند و تقریباً 100 خانه برق ندارند. برخی از جاده‌ها آسیب دیده‌اند، سرویس راه‌آهن در مناطق آسیب دیده متوقف شده و فرودگاه نوتو در ایشیکاوا همچنان تعطیل است.,مطابق متن، به کدام‌یک از موارد زیر به‌دلیل زلزله خسارت وارد شد؟,3,3,بعضی از خانه‌ها,دو راکتور در نیروگاه شیکا,بعضی از جاده‌ها,فرودگاه نوتو,True
490,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود، که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه 1967 است. مباحث گزارش شده دیگر شامل وضعیت آتی بیت المقدس است که برای هر دو ملت مقدس است و همچنین مسئله جردن ولی. اسرائیل پس از امضای توافق‌نامه خواستار حضور نظامی مداوم در دره برای ده سال است، درحالیكه پارلمان موافق است چنین حضوری تنها برای پنج سال باشد.,مطابق متن، کدام‌یک از مشکلات زیر در سند ذکر نشده است؟,2,2,آینده بیت‌المقدس,دلیل جنگ 1967,حضور نظامی در دره,اختلاف درباره مرزها,True
491,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود، که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه 1967 است. مباحث گزارش شده دیگر شامل وضعیت آتی بیت المقدس است که برای هر دو ملت مقدس است و همچنین مسئله جردن ولی. اسرائیل پس از امضای توافق‌نامه خواستار حضور نظامی مداوم در دره برای ده سال است، درحالیكه پارلمان موافق است چنین حضوری تنها برای پنج سال باشد.,کدام‌یک از موارد زیر یکی از خواسته‌های فلسطین نیست؟,2,2,مرزها براساس شرایط پیش از جنگ,ادامه حضور نظامی در دره اُردن,پاسخ‌ها درخصوص آینده Jerusalem,حضور نظامی پنج ساله در «جردن ولی»,True
492,«ما»، متولد هنگ‌کنگ، در دانشگاه نیویورک و دانشکده حقوق هاروارد تحصیل کرد و یک‌زمانی اقامت دائم آمریکا از نوع «گرین کارت» به او تعلق گرفت. «هسیه» طی انتخابات تلویحاً اشاره کرد که «ما» ممکن است طی دوران بحران از کشور فرار کند. هسی همچنین معتقد است آقای Ma فوتوژنیک، سبک برتری نسبت به ماده دارد. علی‌رغم این اتهامات، «ما» در برنامه‌ای که به تبلیغ روابط نزدیکتر با سرزمین اصلی چین پرداخت توانست زیرکانه پیشی بگیرد.,«ما» در کدام کشور درس حقوق خواند؟,1,1,ایالات متحده آمریکا,چین,استرالیا,هنگ‌کنگ,True
493,«ما»، متولد هنگ‌کنگ، در دانشگاه نیویورک و دانشکده حقوق هاروارد تحصیل کرد و یک‌زمانی اقامت دائم آمریکا از نوع «گرین کارت» به او تعلق گرفت. «هسیه» طی انتخابات تلویحاً اشاره کرد که «ما» ممکن است طی دوران بحران از کشور فرار کند. هسی همچنین معتقد است آقای Ma فوتوژنیک، سبک برتری نسبت به ماده دارد. علی‌رغم این اتهامات، «ما» در برنامه‌ای که به تبلیغ روابط نزدیکتر با سرزمین اصلی چین پرداخت توانست زیرکانه پیشی بگیرد.,مطابق متن، حمایت از چه کشوری به پیروزی انتخاباتی «ما» کمک کرد؟,4,4,ایالات متحده آمریکا,هنگ‌کنگ,انگلستان,چین,True
494,پس از آنکه مشخص شد بسیاری از خانواده‌ها به دنبال کمک حقوقی برای جلوگیری از اخراج هستند، جلسه‌ای در تاریخ 20 مارس در «مرکز حقوق عام خلیج شرقی» برای مالباختگان کلاهبرداری مسکن برگزار شد. وقتی اجاره‌نشین‌ها شروع به درمیان گذاشتن چیزی کردند که برای آنها اتفاق افتاده بود، اکثر خانواده‌های درگیر ناگهان متوجه شدند که کارولین ویلسون از OHA پول‌پیش آن‌ها را به سرقت برده و از شهر متواری شده است. مستاجرین در باغ لاک وود بر این باورند که ممکن است 40 خانواده یا تعداد بیشتری با حکم اخراج روبرو شوند، زیرا دریافتند که پلیس OHA در حال بررسی سایر املاک مسکونی عمومی‌ در اوکلند است که ممکن است در دام کلاهبرداری مسکن گرفتار شده باشند.,مطابق با آنچه در متن بیان شد، کارولین ویلسون قبل از ترک شهر برای چه کسانی کار می‌کرد؟,3,3,مرکز حقوق عام خلیج شرقی,پلیس اوکلند,OHA,باغ‌های لاک‌وود,True
495,"پس از این مسابقه، «کسلوفسکی» با 2250 امتیاز صدرنشین مسابقات قهرمانی رانندگان باقی می‌ماند. جانسون با هفت امتیاز عقب‌تر، با امتیاز 2,243 در رده دوم قرار دارد. در سوم، هملین با بیست امتیاز عقب است اما پنج امتیاز از بوایر پیش است. کان و تروکس جونیور به ترتیب با 2220 و 2207 امتیاز پنجم و ششم هستند. استوارت، گوردون، کنز و هارویک با وجود اینکه چهار مسابقه تا انتهای فصل باقی مانده است، ده مقام برتر مسابقات قهرمانی رانندگان را از آن خود می کنند.",با درنظر گرفتن چهار رقابت باقیمانده در فصل، چه کسی رده چهارم را در مسابقه قهرمانی رانندگان دارد؟,4,2,هملین,کاون,استوارت,بوایر,False
496,"پس از این مسابقه، «کسلوفسکی» با 2250 امتیاز صدرنشین مسابقات قهرمانی رانندگان باقی می‌ماند. جانسون با هفت امتیاز عقب‌تر، با امتیاز 2,243 در رده دوم قرار دارد. در سوم، هملین با بیست امتیاز عقب است اما پنج امتیاز از بوایر پیش است. کان و تروکس جونیور به ترتیب با 2220 و 2207 امتیاز پنجم و ششم هستند. استوارت، گوردون، کنز و هارویک با وجود اینکه چهار مسابقه تا انتهای فصل باقی مانده است، ده مقام برتر مسابقات قهرمانی رانندگان را از آن خود می کنند.",پس از رقابت مذکور در متن، کاون چند امتیاز در مسابقه قهرمانی رانندگان دارد؟,1,1,2220,2250,2243,2207,True
497,"چنین معتقدند که این پنجمین بار در تاریخ است که مردم شاهد ماده‌ای هستند که از نظر شیمیایی تایید شده متعلق به مریخ بوده و روی زمین سقوط کرده است. از حدود 24000 شهاب سنگ شناخته شده که در زمین سقوط کرده‌اند، تنها مبدأ حدود 34 عدد تائید شده که از مریخ بوده است. پانزده تا از این سنگ‌ها مربوط به باران شهاب سنگ در جولای گذشته است. برخی از این سنگ‌ها که در کره زمین خیلی نادر هستند با قیمت از 11,000 تا 22,500 دلار در هر اونس فروخته می‌شوند که چیزی حدود ده برابر قیمت طلا است.",مطابق با متن، چندبار مردم شاهد سقوط شهاب‌سنگ بودند که بعدها معلوم شد که منشأ مریخی داشته است؟,2,2,ده بار,پنج بار,پانزده بار,سی و چهار بار,True
498,"چنین معتقدند که این پنجمین بار در تاریخ است که مردم شاهد ماده‌ای هستند که از نظر شیمیایی تایید شده متعلق به مریخ بوده و روی زمین سقوط کرده است. از حدود 24000 شهاب سنگ شناخته شده که در زمین سقوط کرده‌اند، تنها مبدأ حدود 34 عدد تائید شده که از مریخ بوده است. پانزده تا از این سنگ‌ها مربوط به باران شهاب سنگ در جولای گذشته است. برخی از این سنگ‌ها که در کره زمین خیلی نادر هستند با قیمت از 11,000 تا 22,500 دلار در هر اونس فروخته می‌شوند که چیزی حدود ده برابر قیمت طلا است.",مطابق آنچه در متن ذکر شد، چه چیز درباره سنگ‌هایی که معلوم شد منشأ مریخی دارند صحیح است؟,4,4,تمام آنها در طول بارش شهاب‌سنگ ماه جولای یافت شد,"24,000 مورد از آنها وجود دارد","ارزش آنها 11,000 دلار بیشتر از طلا است",34 مورد از آنها وجود دارد,True
499,شوماخر که سال 2006 پس از هفت بار برد در مسابقات قهرمانی فرمول 1 کناره‌گیری کرد، قرار بود جای فلیپه ماسای مجروح حضور یابد. این راننده برزیلی پس از تصادفی که طی مسابقات Grand Prix مجارستان 2009 رخ داد، آسیب شدیدی به سرش وارد شد. ماسا برای حداقل باقی فصل 2009 در بین نخواهد بود.,شوماخر چه زمانی کناره‌گیری کرد؟,2,2,پس از تصادف فیلیپه ماسا,پس از بردن در هفتمین مسابقه قهرمانی,پس از جانشینی فیلیپه ماسا,پس از پایان فصل 2009,True
500,شوماخر که سال 2006 پس از هفت بار برد در مسابقات قهرمانی فرمول 1 کناره‌گیری کرد، قرار بود جای فلیپه ماسای مجروح حضور یابد. این راننده برزیلی پس از تصادفی که طی مسابقات Grand Prix مجارستان 2009 رخ داد، آسیب شدیدی به سرش وارد شد. ماسا برای حداقل باقی فصل 2009 در بین نخواهد بود.,ماسا چه زمانی زخمی شد؟,1,1,در طول Grand Prix,پس از بردن در مسابقه قهرمانی فرمول 1,قبل از کناره‌گیری شوماخر,قبل از فصل 2009,True
501,تابحال AOL توانسته است به‌خاطر کاربرد گسترده در ایالات متحده، بازار پیام‌رسان‌های فوری را با سرعت مورد نظر خود توسعه دهد و به جلو ببرد. با این ترتیبات صورت‌گرفته، این آزادی ممکن است پایان پذیرد. تعداد کاربران یاهو و خدمات مایکروسافت باهم، با تعداد مشتریان AOL رقابت خواهد کرد.,مطابق با متن، این ترتیبات چطور بر AOL تأثیر خواهد گذاشت؟,3,3,تعداد کاربران AOL احتمالاً افزایش خواهد یافت ,AOL تنها شرکتی خواهد بود که بازار IM را توسعه داده است,کاربران Yahoo و Microsoft با تعداد کاربران AOL رقابت خواهند کرد ,AOL دیگر در ایالات متحده استفاده نخواهد شد,True
502,تابحال AOL توانسته است به‌خاطر کاربرد گسترده در ایالات متحده، بازار پیام‌رسان‌های فوری را با سرعت مورد نظر خود توسعه دهد و به جلو ببرد. با این ترتیبات صورت‌گرفته، این آزادی ممکن است پایان پذیرد. تعداد کاربران یاهو و خدمات مایکروسافت باهم، با تعداد مشتریان AOL رقابت خواهد کرد.,کدام‌یک از موارد زیر ممکن است پس از ترتیبات جدید خاتمه یابد؟,3,3,توسعه گسترده اینترنت در ایالات متحده,استفاده از بازار IM,آزادی AOL برای توسعه بازار با سرعت موردنظر خود,شریک شدن Yahoo و Microsoft,True
503,صبح دیروز یک خودروی بمب‌گذاری شده در مرکز پلیس شهر قاضی عنتب ترکیه منفجر شد و منجر به کشته شدن دو افسر پلیس و زخمی شدن بیش از بیست نفر دیگر شد. دفتر فرماندار گفت که نوزده نفر از افراد مجروح از افسران پلیس بودند. پلیس گفت این گمان وجود دارد که ستیزه‌جویان داعش (ISIL) مسئول این حمله باشند.,چند نفر از افرادی که در حمله کشته شدند افسران پلیس نبودند؟,3,3,19,2,0,20,True
504,صبح دیروز یک خودروی بمب‌گذاری شده در مرکز پلیس شهر قاضی عنتب ترکیه منفجر شد و منجر به کشته شدن دو افسر پلیس و زخمی شدن بیش از بیست نفر دیگر شد. دفتر فرماندار گفت که نوزده نفر از افراد مجروح از افسران پلیس بودند. پلیس گفت این گمان وجود دارد که ستیزه‌جویان داعش (ISIL) مسئول این حمله باشند.,چه‌کسی متهم مظنون در حمله را گزارش داد؟,1,1,پلیس,دفتر فرماندار,گزارشگرها,محلی‌های قاضی عنتب,True
505,میت رومنی، فرماندار سابق ماساچوست، روز سه‌شنبه با کسب بیش از 46 درصد از آرا، در انتخابات اصلی ریاست جمهوری حذب جمهوری‌خواه فلوریدا پیروز شد. سخنگوی سابق مجلس نمایندگان ایالات متحده، نوت گینگریچ، با 32 درصد آرا دوم شد. فلوریدا در جایگاه یک ایالت همیشه برنده، تمام پنجاه نماینده خود را به رامنی اعطا کرد و پیشتازی او را به عنوان کاندیدای حزب جمهوری‌خواه حفظ کرد.,به‌دلیل وضعیت فلوریدا به‌عنوان یک ایالت همیشه برنده، به میت رومنی چه چیز جایزه داده شد؟,3,2,نمایندگی 32 ایالت,نامزدی در حزب جمهوری‌خواه,نماینده‌های تمام ایالت‌ها,46 درصد آراء,False
506,میت رومنی، فرماندار سابق ماساچوست، روز سه‌شنبه با کسب بیش از 46 درصد از آرا، در انتخابات اصلی ریاست جمهوری حذب جمهوری‌خواه فلوریدا پیروز شد. سخنگوی سابق مجلس نمایندگان ایالات متحده، نوت گینگریچ، با 32 درصد آرا دوم شد. فلوریدا در جایگاه یک ایالت همیشه برنده، تمام پنجاه نماینده خود را به رامنی اعطا کرد و پیشتازی او را به عنوان کاندیدای حزب جمهوری‌خواه حفظ کرد.,مطابق متن، گینگریچ چند درصد از آراء را در انتخابات اصلی کسب کرد؟,2,2,50 درصد,32 درصد,46 درصد,35 درصد,True
507,رئیس اسبق مجلس نمایندگان، نوت گینگریچ، ریک پری، فرماندار تگزاس و میشل باکمن، نماینده زن کنگره به ترتیب در مکان‌های چهارم، پنجم و ششم قرار گرفتند. پس از منتشر شدن نتایج،‌ «گینگریچ» «سنتوروم»‌ را مورد تمجید قرار داد ولی کلمات تندی برای «رامنی»‌ بکار برد که به نمایندگی از او تبلیغات انتخاباتی در آیووا علیه «گینگریچ» را روی آنتن برد. پری بیان کرد که «برای ارزیابی نتایج رایزنی امشب به تگزاس می‌روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر»، ولی بعدها گفت که او در این مسابقه می‌ماند و در انتخابات مقدماتی کارولینای جنوبی در 21 ژانویه رقابت خواهد کرد. باخمن، که در ماه آگوست برنده نظرسنجی آمس استراو شد، تصمیم گرفت کمپین خود را خاتمه دهد.,مطابق با متن، چه کسی پس از نتایج انجمن حزبی برای نامزدی انتخابات ادامه نداد؟,2,2,گینگریچ,باکمن,پری ,رومنی,True
508,رئیس اسبق مجلس نمایندگان، نوت گینگریچ، ریک پری، فرماندار تگزاس و میشل باکمن، نماینده زن کنگره به ترتیب در مکان‌های چهارم، پنجم و ششم قرار گرفتند. پس از منتشر شدن نتایج،‌ «گینگریچ» «سنتوروم»‌ را مورد تمجید قرار داد ولی کلمات تندی برای «رامنی»‌ بکار برد که به نمایندگی از او تبلیغات انتخاباتی در آیووا علیه «گینگریچ» را روی آنتن برد. پری بیان کرد که «برای ارزیابی نتایج رایزنی امشب به تگزاس می‌روم و ببینم راهی رو به جلو برایم در این مسابقه وجود دارد یا خیر»، ولی بعدها گفت که او در این مسابقه می‌ماند و در انتخابات مقدماتی کارولینای جنوبی در 21 ژانویه رقابت خواهد کرد. باخمن، که در ماه آگوست برنده نظرسنجی آمس استراو شد، تصمیم گرفت کمپین خود را خاتمه دهد.,مطابق متن، چه کسی کاندیدای دیگر را پس از نتایج انجمن حزبی مورد تمجید قرار داد؟,2,2,باکمن,گینگریچ,رامنی,پری,True
509,وب‌سایت این شبکه، این نمایش را به عنوان «یک نمایش رادیویی به سبک قدیمی با چرخش جدید و بیدادگرانه» توصیف کرده است! این نمایش در روزهای نخستینش فقط در سایت رادیویی اینترنتی TogiNet Radio که قدمتی دیرین دارد و بر گفتگوهای رادیویی متمرکز است به‌عنوان برنامه ویژه پخش شد. در اواخر سال 2015، TogiNet رادیو AstroNet را به عنوان ایستگاه فرعی تأسیس کرد. در این نمایش ابتدا صداپیشگان مبتدی اهل شرق تگزاس ایفای نقش می‌کردند.,تنها مکانی که نمایش قبل از 2015 پخش شد کجا بود؟,1,1,رادیو TogiNet,تکزاس شرقی,رادیو AstroNet,ایستگاه‌های رادیو محلی,True
510,وب‌سایت این شبکه، این نمایش را به عنوان «یک نمایش رادیویی به سبک قدیمی با چرخش جدید و بیدادگرانه» توصیف کرده است! این نمایش در روزهای نخستینش فقط در سایت رادیویی اینترنتی TogiNet Radio که قدمتی دیرین دارد و بر گفتگوهای رادیویی متمرکز است به‌عنوان برنامه ویژه پخش شد. در اواخر سال 2015، TogiNet رادیو AstroNet را به عنوان ایستگاه فرعی تأسیس کرد. در این نمایش ابتدا صداپیشگان مبتدی اهل شرق تگزاس ایفای نقش می‌کردند.,ایستگاه توصیف می‌کند که نمایش چه نوع نقطه نظری دارد؟,2,3,آماتور,فنی,سبک قدیمی,محلی,False
511,مهاجمان بمبئی روز 26 نوامبر 2008 با قایق رسیدند و در حالی که با خود نارنجک و سلاح‌های اتوماتیک آورده بودند، اهداف متعددی را نشانه رفتند، از جمله ایستگاه راه‌آهن پرازدحام Chhatrapati Shivaji Terminus و هتل مشهور تاج محل. پیشاهنگی و جمع‌آوری اطلاعات توسط دیوید هدلی به فعال کردن 10 فرد مسلح از گروه شبه نظامی پاکستان لشکر طیبه کمک کرده است. این حمله باعث تنش زیادی در روابط بین هندوستان و پاکستان شد.,دیوید هدلی چه چیز جمع‌آوری کرد که در نهایت به حمله گروه شبه‌نظامی کمک کرد؟,1,1,اطلاعات,نارنجک,تفنگ‌دار,سلاح‌های خودکار,True
512,مهاجمان بمبئی روز 26 نوامبر 2008 با قایق رسیدند و در حالی که با خود نارنجک و سلاح‌های اتوماتیک آورده بودند، اهداف متعددی را نشانه رفتند، از جمله ایستگاه راه‌آهن پرازدحام Chhatrapati Shivaji Terminus و هتل مشهور تاج محل. پیشاهنگی و جمع‌آوری اطلاعات توسط دیوید هدلی به فعال کردن 10 فرد مسلح از گروه شبه نظامی پاکستان لشکر طیبه کمک کرده است. این حمله باعث تنش زیادی در روابط بین هندوستان و پاکستان شد.,گروه شبه‌نظامی از چه نوع وسیله نقلیه‌ای برای سفر به بمبئی استفاده کرد؟,3,3,راه‌آهن,هواپیما,قایق,ماشین,True
513,رکورد امتیاز نادال در مقابل حریف کانادایی 7–2 است. او به تازگی در مسابقات اوپن Brisbane، مقابل رائونیک نتیجه را واگذار کرد. نادال در این مسابقه 88٪ امتیازات تور را از آن خود کرد و در ست اول، 76 امتیاز گرفت. پس از مسابقه، «سلطان زمین‌های رسی» گفت: «من از بازگشت دوباره به دور نهایی این رویداد بسیار مهم خیلی خوشحالم. من برای بردن اینجا هستم.»,کدام عبارت ذکر شده در متن به‌طور دقیق بازتاب نتیجه مسابقه اوپن نادال و رائونیک در Brisbane است؟,1,1,رائونیک دربرابر نادال پیروز شد,رائونیک امتیاز خالص ‎88% داشت,نادال دربرابر رائونیک پیروز شد,رائونیک امتیاز 76 کسب کرد,True
