,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
430,براساس گزارش‌ها، یک آپارتمان در خیابان مکبث به دلیل نشت گاز منفجر شد. پس از آنكه يكی از همسایه‌ها درباره نشت گاز تماس گرفت، يكی از مقام‌های شركت گاز در محل رویداد در حال ارائه گزارش بود. وقتی مقام رسمی از راه رسید، آپارتمان منفجر شد. هیچ مصدومیت عمده ای گزارش نشده است، اما حداقل پنج نفر در زمان انفجار در آن صحنه به دلیل علائم شوک تحت درمان قرار گرفتند. هیچ کس در آپارتمان حضور نداشت. در آن موقع، تقریباً 100 نفر از ساکنان آن منطقه از آنجا بیرون برده شده بودند.,پس از انفجار، چه کسانی به دلیل جراحات جدی تحت درمان قرار گرفتند؟,2,1,حداقل پنج نفر,هیچکس,مقامی از شرکت گاز ,یک همسایه,False
442,دولت ایرلند بر فوریت قانون‌گذاری پارلمان در جهت اصلاح اوضاع تأکید دارد. سخنگوی دولت اعلام کرد، «از هر دو منظر بهداشت عمومی و دیدگاه عدالت کیفری مهم این است كه این قانون در اسرع وقت تصویب شود.» وزیر بهداشت هم برای رفاه افرادی که از مزایای قانونی بودن موقت مواد مربوطه استفاده می‌کنند و هم برای محکومیت‌های مربوط به مواد مخدر که از زمان اعمال تغییرات غیراساسی صادر شده است، ابراز نگرانی کرد.,دولت ایرلند درحال برنامه‌ریزی برای چه چیزی است؟,2,3,صدور محکومیت برای مجرمان مواد مخدر,تصویب قوانینی سخت‌گیرانه‌تر پیرامون مجاز بودن مواد,تخفیف قوانین درباره مجاز بودن مواد,جرم‌زدایی از مواد مخدر,False
447,یک پلیس سابق فیلیپینی با ربودن یک اتوبوس در مانیل، پایتخت فیلیپین، گردشگران هنگ کنگی را به گروگان گرفته است. رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد. چندین تن از گروگان‌ها نجات یافته‌اند و تاکنون مرگ حداقل شش نفر تایید شده است. شش گروگان شامل كودكان و سالمندان، همینطور عكاسان فیلیپینی، در ابتدا آزاد شدند. عکاس‌ها سپس جای یک زن سالخورده که نیاز به دستشویی داشت را گرفتند. مندوزا با گلوله از پای درآورده شد.,با توجه به متن، رولاندو مندوزا چه کسی را گروگان نگرفت؟,2,4,گردشگران,پلیس,کودکان,عکاسان,False
448,یک پلیس سابق فیلیپینی با ربودن یک اتوبوس در مانیل، پایتخت فیلیپین، گردشگران هنگ کنگی را به گروگان گرفته است. رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد. چندین تن از گروگان‌ها نجات یافته‌اند و تاکنون مرگ حداقل شش نفر تایید شده است. شش گروگان شامل كودكان و سالمندان، همینطور عكاسان فیلیپینی، در ابتدا آزاد شدند. عکاس‌ها سپس جای یک زن سالخورده که نیاز به دستشویی داشت را گرفتند. مندوزا با گلوله از پای درآورده شد.,با توجه به متن، آزادی زودهنگام کدام گروگان‌ها تأیید نشد؟,1,3,گردشگران,افراد مسن,عکاسان,کودکان,False
451,پنج دقیقه از زمان نمایش بادی شروع به وزش می کند، حدود یک دقیقه بعد، باد به 70 کیلومتر در ساعت می رسد ... سپس باران می آید، اما آنقدر سخت و آنقدر بزرگ است که مانند سوزن به پوست شما سیلی می‌زند، سپس تگرگ از آسمان می‌بارد، مردم وحشت زده ، فریاد می کشند و فرار می کنند. آرمند ورساچه گفت: «من خواهر و دوستم را از دست دادم و در مسیر من دو معلول روی صندلی چرخدار بودند، مردم فقط می پریدند و آنها را هل می‌دادند».,طبق روایت آرمند ورساچه، دقیقاً قبل از واکنش جمعیت به آب‌وهوا چه اتفاقی افتاد؟,1,3,تگرگ شروع شد,نمایش پنج دقیقه دیرتر شروع می‌شد,بادهای شدید می‌وزید,وی یکی از اعضای خانواده را از دست داد,False
452,پنج دقیقه از زمان نمایش بادی شروع به وزش می کند، حدود یک دقیقه بعد، باد به 70 کیلومتر در ساعت می رسد ... سپس باران می آید، اما آنقدر سخت و آنقدر بزرگ است که مانند سوزن به پوست شما سیلی می‌زند، سپس تگرگ از آسمان می‌بارد، مردم وحشت زده ، فریاد می کشند و فرار می کنند. آرمند ورساچه گفت: «من خواهر و دوستم را از دست دادم و در مسیر من دو معلول روی صندلی چرخدار بودند، مردم فقط می پریدند و آنها را هل می‌دادند».,به گفته ورساچه* چه زمانی شدیدترین بادها شروع به وزیدن کردند؟,4,1,پنج دقیقه بعد از شروع نمایش,پس از باران,پس از اینکه خواهرش را گم کرد,پیش از تگرگ,False
453,به گفته هواشناسان، این طوفان، که در حدود 645 مایلی (1040 کیلومتری) غرب جزایر کیپ ورد واقع شده است، احتمالاً قبل از اینکه خطری برای زمین‌ها ایجاد کند محو می‌شود. «فرِد» درحال حاضر بادهایی با سرعت 105 مایل در ساعت (165 کیلومتر در ساعت) در خود دارد و به سمت شمال غرب در حرکت است. «فرِد» سهمگین‌ترین تندباد استوایی است که از زمان اختراع تصویربرداری ماهواره‌ای در جنوب و شرق اقیانوس اطلس ثبت شده است، و تنها سومین طوفان بزرگ در تاریخ است که در شرق 35 درجه غربی رخ می‌دهد.,پیش از «فرِد»، چند طوفان بزرگ در شرق 35 درجه غربی ثبت شده بود؟,3,2,هیچ,سه,دو,یک,False
457,برنده مدال طلای المپیک در شنای 100 متر و 200 متر آزاد و شنای سه‌گانه در بازی‌های کشورهای مشترک‌المنافع بود، اما به دلیل شکایت وی، در خصوص آمادگی جسمانی او در این مسابقات تردید وجود داشته‌ است. او نتوانسته است داروهای مورد نیاز برای غلبه بر درد خود را دریافت کند چون این دارو‌ها ممنوع هستند.,وی دارنده مدال طلای المپیک به دلیل شنا در بازی‌های مشترک المنافع چند رویداد بود؟,1,3,پنج,سه,دو,چهار,False
471,امروز گروه تحقیقاتی عراق گزارش خود را رأس ساعت 12:00 به وقت گرینویچ ارائه داد. این هشدار می دهد که هیچ کس نمی تواند تضمین کند که هرگونه اقدام در عراق در این مرحله، جنگ فرقه ای، خشونت رو به رشد و یا خیزش به سمت هرج و مرج را متوقف خواهد کرد. این گزارش با لایحه‌ای برای مذاکره آزادانه و تشکیل مجمعی در ایالات متحده درباره سیاست مربوط به خاورمیانه آغاز می‌شود. این گزارش بسیار حیاتی، تقریباً در مورد تمام جنبه‌های سیاست کنونی اجرایی در قبال عراق است و خواستار تغییر جهت فوری است. اولین مورد از 78 توصیه او بدین ترتیب است که ابتکار عمل دیپلماتیک جدید باید پیش از پایان سال جاری اتفاق بیفتد تا مرزهای عراق در برابر مداخلات خصمانه امن شود و روابط دیپلماتیک با همسایگانش از سر گرفته شود.,کدام مورد در گزارش گروه تحقیقاتی عراق قید نشده بود؟,2,1,انتقاد از پلیس فعلی,اعلامیه‌ای مبنی بر اینکه با تغییرات خاصی می‌توان از افزایش خشونت در عراق جلوگیری کرد,توصیه‌هایی برای حفظ امنیت مرزهای عراق,درخواست برای تشکیل مجمعی در ایالات متحده,False
495,"پس از این مسابقه، «کسلوفسکی» با 2250 امتیاز صدرنشین مسابقات قهرمانی رانندگان باقی می‌ماند. جانسون با هفت امتیاز عقب‌تر، با امتیاز 2,243 در رده دوم قرار دارد. در سوم، هملین با بیست امتیاز عقب است اما پنج امتیاز از بوایر پیش است. کان و تروکس جونیور به ترتیب با 2220 و 2207 امتیاز پنجم و ششم هستند. استوارت، گوردون، کنز و هارویک با وجود اینکه چهار مسابقه تا انتهای فصل باقی مانده است، ده مقام برتر مسابقات قهرمانی رانندگان را از آن خود می کنند.",با درنظر گرفتن چهار رقابت باقیمانده در فصل، چه کسی رده چهارم را در مسابقه قهرمانی رانندگان دارد؟,4,2,هملین,کاون,استوارت,بوایر,False
505,میت رومنی، فرماندار سابق ماساچوست، روز سه‌شنبه با کسب بیش از 46 درصد از آرا، در انتخابات اصلی ریاست جمهوری حذب جمهوری‌خواه فلوریدا پیروز شد. سخنگوی سابق مجلس نمایندگان ایالات متحده، نوت گینگریچ، با 32 درصد آرا دوم شد. فلوریدا در جایگاه یک ایالت همیشه برنده، تمام پنجاه نماینده خود را به رامنی اعطا کرد و پیشتازی او را به عنوان کاندیدای حزب جمهوری‌خواه حفظ کرد.,به‌دلیل وضعیت فلوریدا به‌عنوان یک ایالت همیشه برنده، به میت رومنی چه چیز جایزه داده شد؟,3,2,نمایندگی 32 ایالت,نامزدی در حزب جمهوری‌خواه,نماینده‌های تمام ایالت‌ها,46 درصد آراء,False
510,وب‌سایت این شبکه، این نمایش را به عنوان «یک نمایش رادیویی به سبک قدیمی با چرخش جدید و بیدادگرانه» توصیف کرده است! این نمایش در روزهای نخستینش فقط در سایت رادیویی اینترنتی TogiNet Radio که قدمتی دیرین دارد و بر گفتگوهای رادیویی متمرکز است به‌عنوان برنامه ویژه پخش شد. در اواخر سال 2015، TogiNet رادیو AstroNet را به عنوان ایستگاه فرعی تأسیس کرد. در این نمایش ابتدا صداپیشگان مبتدی اهل شرق تگزاس ایفای نقش می‌کردند.,ایستگاه توصیف می‌کند که نمایش چه نوع نقطه نظری دارد؟,2,3,آماتور,فنی,سبک قدیمی,محلی,False
514,رکورد امتیاز نادال در مقابل حریف کانادایی 7–2 است. او به تازگی در مسابقات اوپن Brisbane، مقابل رائونیک نتیجه را واگذار کرد. نادال در این مسابقه 88٪ امتیازات تور را از آن خود کرد و در ست اول، 76 امتیاز گرفت. پس از مسابقه، «سلطان زمین‌های رسی» گفت: «من از بازگشت دوباره به دور نهایی این رویداد بسیار مهم خیلی خوشحالم. من برای بردن اینجا هستم.»,مطابق با متن، جایگاه نادال و رائونیک در مسابقه پس از اولین سرویس چه بود؟,2,4,رائونیک امتیاز خالص ‎88% داشت,نادال با امتیاز 76 برنده شد,امتیاز ‎7-2 بود,رائونیک دربرابر نادال پیروز شد,False
518,پس از مسابقه چهارشنبه، کارپاندو در دو مسابقه انفرادی در مسابقات قهرمانی رقابت کرد. نخستین حضور او در اسکی مارپیچ کوچک بود، جایی‌که وی موفق نشد به خط پایان برسد. 36 نفر از 116 رقیب او در آن مسابقه نتیجه مشابهی بدست آوردند. او در مسابقه دیگرش در Giant Slalom با مدت زمان ترکیبی 4:41.30 کار خود را در رتبه دهم در گروه نشسته بانوان پایان داد، که 2:11.60 دقیقه کندتر از کلودیا لوئیز اتریشی بود که مقام اول را از آن خود کرد و 1:09.02 دقیقه کندتر از مقام نهم که به Gyöngyi Dani از مجارستان رسید. چهار اسکی‌باز در گروه نشسته زنان نتوانستند مسیرشان را به اتمام برسانند و 45 نفر از کل 117 اسکی‌باز مارپیچ بزرگ نتوانستند در مسابقه رتبه کسب کنند.,کدام‌یک از عبارات زیر به‌طور دقیق نشان‌دهنده نتایج رقابت‌های مسابقات قهرمانی است؟,3,2,در رقابت دوم، کارپاندو قبل از یک اسکی‌باز از مجارستان به خط پایان رسید,45 اسکی‌باز مسیر خود را در اسکی مارپیچ بزرگ تمام نکردند.,اسکی‌بازهای بیشتری اسکی مارپیچ بزرگ را نسبت به اسکی مارپیچ کوچک به پایان رساندند.,کارپاندو در اسکی بزرگ دهم شد,False
524,پس از آنکه دریافت حمایت اضطراری از دولت انگلستان افشا شد، بانک Northern Rock در سال 2008 ملی اعلام شد. مؤسسه Northern Rock به دلیل تأثیرپذیری‌اش طی دوره بحران وام‌های بدون پشتوانه در سال 2007، نیازمند کمک و پشتیبانی شده بود. گروه ویرجین مربوط به سر ریچارد برانسون پیش از ملی شدن این بانک، پیشنهادی برای آن ارائه کرده بود که رد شد. در سال 2010، بانک سهامی عام Northern Rock که اکنون بانک خیابان اصلی است و ملی شده است، از «بانک بد» یعنی Northern Rock (مدیریت دارایی‌ها) جدا شد. ویرجین فقط آن هویت «بانک خوبِ» Northern Rock را خریده است، نه شرکت مدیریت دارایی را.,مطابق با متن، کدام عبارات زیر دقیقاً معاملات گروه ویرجین را با بانک Northern Rock توصیف می‌کند؟,2,4,گروه ویرجین همچنین شرکت مدیریت دارایی Northern Rock را خریداری کرد,گروه ویرجین این بانک را پس از ملی شدن آن خریداری کرد,گروه ویرجین درطول بحران وام‌دهی حمایت اضطراری بانکی ارائه کرد,اولین سفارش گروه ویرجین برای بانک پس از ملی شدن بانک انجام گرفت,False
529,«براساس این فسیل، بدان معنی است که شکاف بسیار زودتر از آنچه توسط شواهد مولکولی پیش‌بینی شده، اتفاق افتاده است.» Berhane Asfaw محقق سرویس تحقیقاتی Rift Valley و یکی از نویسندگان این تحقیق در اتیوپی گفت: «این بدان معناست که همه چیز باید پس‌گرفته شود.»,مطابق با متن، شکاف در کجا پیدا شد؟,2,1,در Rift Valley,در فسیل,در شواهد ملکولی,در اتیوپی,False
534,پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود. گزارشات بعدی بیان کرد که هواپیما تهدید بمب‌گذاری داشته است و با تغییر مسیر به سمت افغانستان، در قندهار نشسته است. گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,چه چیز در گزارش اولیه آژانس خبری جدید شینهووا گزارش نشد؟,4,2,هواپیما ربوده شد,اجازه فرود اضطراری هواپیما رد شد,هواپیما از مسیر خارج شد و به سمت افغانستان رفت,هواپیما یک تهدید بمب‌گذاری دریافت کرد,False
547,این عکاس به مرکز پزشکی UCLA رونالد ریگان منتقل شد و چندی بعد در آنجا در گذشت. طبق گزارش، او در دهه 20 سالگی‌اش بود. بیبر در بیانیه‌ای گفت: «با اینکه من در آنجا حضور نداشتم و بطور مستقیم در این سانحه غم‌انگیز دخیل نبود، فکر و ذکرم با خانواده این قربانی است.» وب سایت خبری سرگرمی TMZ می‌داند که عکاس وسیله نقلیه خود را در آن طرف بلوار Sepulveda متوقف کرده و سعی کرده است قبل از عبور از جاده و ادامه کار، از ایست بازرسی پلیس عکس بگیرد، و باعث شد که افسر پلیس گشت بزرگراه کالیفرنیا که در حال انجام ایست بازرسی بود، دو بار به او دستور دهد که برگردد. طبقه گفته پلیس بعید است خودرویی که به عکاس برخورد کرده با اتهامات جزایی روبرو شود.,مطابق متن، قبل از اینکه خودرو با عکاس برخورد کند چه اتفاقی نیفتاد؟,4,1,گشت بزرگراه به عکاس دستور داد تا از عرض جاده برگردد,عکاس ماشینش را در طول بلوار Sepulveda پارک کرد,عکاس از ایستگاه پلیس عکس گرفت,عکاس توانست یک عکس از Bieber بگیرد,False
559,تحقیقی که روز پنجشنبه در مجله Science منتشر شد، از تشکیل گونه جدیدی از پرندگان در جزایر گالاپاگوس اکوادور خبر داد. محققان دانشگاه پرینستون آمریكا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند، اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی، سهره زمینی متوسط، و سهره کاکتوسی مهاجر، یعنی سهره کاکتوسی بزرگ، این روند خیلی بیشتر طول کشید.,مطابق با متن، کدام‌یک از موارد زیر کمتر از آنچه که محققان در ابتدا فکر می‌کردند زمان برد؟,4,1,شکل یافتن گونه‌ها,گزارش‌دهی درباره گونه‌ها,تولید مثل بین گونه‌های متفاوت,تکامل گونه‌ها,False
560,تحقیقی که روز پنجشنبه در مجله Science منتشر شد، از تشکیل گونه جدیدی از پرندگان در جزایر گالاپاگوس اکوادور خبر داد. محققان دانشگاه پرینستون آمریكا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند، اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی، سهره زمینی متوسط، و سهره کاکتوسی مهاجر، یعنی سهره کاکتوسی بزرگ، این روند خیلی بیشتر طول کشید.,محققین کدام‌یک از موارد زیر را گزارش ندادند؟,3,2,جایی که گونه‌های جدید شکل یافت,طول فرایند تکامل,نام گونه‌های جدید,پرنده‌های دخیل در تولید مثل,False
579,علاوه بر فشار یخ،‌ شرایط آب و هوایی بد نیز مانع از تلاش‌ها برای نجات شده است. پیتمن اشاره کرد که اوضاع تا هفته بعد بهتر نخواهد شد بنا به گفته پیتمن، مقدار و ضخامت یخ بسته، در بدترین وضعیتی برای شکارچیان گوساله ماهی در 15 سال گذشته است.,مطابق با متن، چه چیز مشکل کنونی برای شکارچیان گوساله ماهی نخواهد بود؟,4,3,شرایط آب‌وهوایی نامساعد,مقدار یخ,ضخامت یخ,ذوب شدن یخ,False
594,این پرونده در ویرجینیا تحت پیگرد قانونی قرار گرفت، زیرا آنجا مرکز پیشرو در ارائه خدمات اینترنتی AOL است، شرکتی که این اتهامات را برمی‌انگیزد. این نخستین بار است که محکومیتی با استفاده از قانون مصوب سال 2003 به منظور جلوگیری از ارسال ایمیل انبوه، هرزنامه، و ارسال ناخواسته ایمیل به صندوق های پستی کاربران ایجاد می‌شود.,کدام‌یک از عبارات زیر به‌طور دقیق این پرونده را توصیف می‌کند؟,4,1,AOL متهم به توزیع ناخواسته شد,این پرونده شامل دو ارائه‌دهنده خدمات اینترنتی پیش‌رو بود,این پرونده در سال 2003 پیگیری شد,AOL شروع به پیگیری این پرونده کرد,False
595,ویدال 28 ساله سه فصل پیش از باشگاه سِویا به باشگاه بارسا ملحق شده بود. ویدال از موقع نقل مکان به پایتخت کاتالونیا، در 49 بازی این باشگاه بازی کرده بود.,مطابق متن، ویدال در سه فصل گذشته در کدام باشگاه شروع به بازی کرد؟,3,1,سِویا,کاتالونیا,بارسا,کاپیتال,False
615,او به همراه آن مقامات به شهروندان تگزاس اطمینان خاطر داد که اقداماتی برای حفاظت از ایمنی عمومی در حال انجام است. «پری» بویژه بیان کرد: «کمتر مکانی در دنیا مجهزتر از اینجا وجود دارد که برای مقابله با این مورد چالش‌انگیز آمادگی داشته باشد.» فرماندار همچنین اظهار داشت: «امروز دریافتیم که برخی از کودکان مدرسه‌ای شناسایی شده‌اند که با بیمار تماس داشته‌اند.» وی در ادامه گفت: «این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار می‌کند.»,مطابق با متن، فرماندار هنگام سخنرانی برای شهروندان تگزاس چه تضمینی نداد؟,4,1,سیستم به‌خوبی کار می‌کند,کارهایی برای حفاظت از ایمنی عموم درحال انجام است,آنها ابزار لازم را برای رویارویی با این چالش دارند,این پرونده جدی نیست,False
620,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.» دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد. مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,چه چیز درباره تحقیق انجام گرفته توسط دکتر ایهود اور صحیح است؟,2,3,نتایج ممکن است برای بیمارانی که از قبل دیابت نوع 1 داشته‌اند مفید باشد,برخی از موش‌های دارای دیابت دیگر دیابت ندارند,او خوشبین است که این یافته‌ها می‌تواند منجر به یک درمان شود,برخی از موش‌های بدون دیابت اکنون دیابت دارند,False
636,هیأت ژیمناستیک ایالات متحده آمریکا از نامه کمیته المپیک ایالات متحده حمایت می‌کند و نیاز قاطع خانواده المپیک به ترویج محیطی امن برای تمام ورزشکارهای ما را می‌پذیرد. ما با بیانیه USOC موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار، بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود. هیأت ژیمناستیک ایالت متحده آمریکا از یک تحقیق مستقل حمایت می‌کند که احتمالاً بتواند روشن سازد که موضوع سوء استفاده از بخشی که بازماندگان لری نصار با جسارت بیان کرده بودند چطور مدت‌ها کشف‌نشده باقی ماند و ضمناً تغییرات لازم و مناسب را دربر گیرد. هیأت ژیمناستیک ایالات متحده آمریکا و USOC نیز همان هدف را دارد - امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن، مثبت و توانمند دنبال کنند.,مطابق با این عبارت، چه چیز توسط ژیمناستیک ایالات متحده آمریکا پس از سوء‌استفاده نصار از ورزشکاران حمایت نشده است؟,1,4,لغو گواهی,ایجاد یک محیط توانمند,تغییرات ضروری درون‌سازمانی,یک تحقیقات مستقل,False
640,اواخر روز یکشنبه،‌ رئیس جمهور ایالات متحده، دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد. این اعلامیه پس از مکالمه تلفنی ترامپ با رئیس‌جمهور ترکیه،‌ رجب طیب اردوغان، منتشر شد. ترکیه همچنین محافظت از جنگجویان اسیر داعش را بر عهده خواهد گرفت، که به گفته این بیانیه، کشور‌های اروپایی از بازگشت آنها به وطن خود جلوگیری کرده‌اند.,چه کسی درخصوص نیروهای ایالات متحده سخنرانی کرد؟,4,1,دونالد ترامپ,طیب اردوغان,مبارزین داعش,وزیر مطبوعات,False
645,پس از آنکه این سد در 1963 ساخته شد، از بروز سیل‌های فصلی که گل و لای آن در سراسر رودخانه پخش می‌شد، پیشگیری شد. این رسوب برای ایجاد سدهای ساحلی و سواحل ضروری است که زیستگاه‌های حیات‌وحش به حساب می‌آیند. در نتیجه، دو گونه ماهی منقرض شده اند، و دو گونه دیگر نیز در معرض خطر قرار گرفته اند، از جمله چاب کوهان دار. گرچه سطح آب پس از سیل چند پله افزایش می‌یابد، اما مقامات امیدوارند این وضعیت برای بازسازی سد ساحلی در پایین دست کافی باشد.,ساخت سد بر کدام‌یک از موارد زیر تأثیر دائمی گذشت؟,2,4,سد ساحلی شنی,ماهی‌های چاب کوهان‌دار,زیستگاه‌های حیات وحش,انتشار رسوب,False
652,آدام کوئردن، مدیر منابع مشترک، هنگام گفتگو با ویکی‌نیوز در ماه گذشته،‌ از این حذفیات ابراز سرخوردگی کرد. «او [ولز] از همان ابتدا به ما دروغ گفت. اول از همه، با وانمود کردن اینکه این به‌خاطر دلایل قانونی است. دوم، با وانمود کردن اینکه به حرف‌های ما گوش می‌کند، اما درست تا حذف هنرش پیش رفت.» خشم جامعه منجر به تلاش‌های جاری برای طرح سیاستی در خصوص محتوای جنسی برای این سایت شد که میزبان میلیون‌ها رسانه با دسترسی آزاد است.,کدام‌یک از موارد زیر دلیل سرخوردگی آدام کوئردن نیست؟,1,3,خط‌مشی جدید سایت درخصوص محتوای جنسی,حذف هنر ولز,عدم توجه ولز,دروغ‌ها درباره دلیل حذف هنر,False
655,خیلی‌ها از مشمول شدن دسته زن‌ها حمایت نکردند. امیر خان، مدال‌آور نقره المپیک سال 2004، گفت: «در واقع فکر می‌کنم زنان نباید بجنگند. نظر من این است.» علی‌رغم اظهاراتش، گفت در المپیک سال 2012 که قرار است در لندن برگزار شود حامی شرکت‌کنندگان بریتانیایی خواهد بود.,مطابق با متن، امیرخان از کدام موارد زیر علیرغم نظر شخصی‌اش حمایت خواهد کرد؟,1,3,مبارزان زن,حریف‌هایش از المپیک 2004,المپیک 2012,سایر مدال‌آوران نقره,False
659,امروزه مسافرت هوایی به ندرت بطور مستقیم از طریق خط هوایی و بدون جستجوی اولیه و مقایسه قیمت‌ها صورت می‌گیرد. گاهی همان پرواز می‌تواند قیمت‌های کاملاً متفاوتی در وبسایت‌های اطلاع‌رسانی داشته باشد و مقایسه نتایج جستجو و دیدن وبسایت خود خط‌هوایی نیز قبل از رزرو مفید واقع می‌شود.,مطابق با متن، مسافری که نگران قیمت است کدام‌یک از موارد زیر را باید آخر انجام دهد؟,2,4,جستجو برای پیشنهادهای شرکت‌های مسافرتی متعدد,رزرو مستقیماً نزد خط هوایی,مقایسه قیمت‌ها بین چند خط هوایی,بررسی وب‌سایت خط هوایی,False
671,قاره قطب جنوب سردترین مکان زمین است و قطب جنوب زمین را احاطه کرده است. بازدیدهای توریستی پرهزینه است، نیازمند آمادگی جسمانی است، تنها در تابستان و در خلال نوامبر-فوریه انجام می‌شود و عمدتاً به شبه جزیره، جزایر و دریای راس محدود می‌شود. در تابستان حدود چند هزار کارمند در اینجا و در تقریباً‌ پنجاه پایگاه و اکثراً‌ در آن مناطق زندگی می‌کنند؛ تعداد کمی در طول زمستان می‌مانند. خشکی‌های قطب جنوب یک دشت خالی از سکنه است که با 2-3 کیلومتر یخ پوشانده شده است. متخصصین تورهای هوایی گاه و بیگاه برای کوهنوردی یا رسیدن به قطب که دارای پایگاه بزرگی ست، به داخل کشور می‌روند.,توریستی که علاقمند به کوهنوردی است کدام بخش از قطب جنوب را می‌تواند بازدید کند؟,2,3,دریای راس,محل‌های خشکی,شبه‌جزیره,جزیره‌ها,False
675,بدلیل قرار گرفتن اوکلند بین دو بندرگاه، ساحل‌های بسیاری وجود دارند. محبوب‌ترین آنها در سه ناحیه قرار دارند. سواحل نورث شور (در منطقه نورث هاربر) در اقیانوس آرام است و از لانگ بی در شمال تا دونپورت در جنوب امتداد دارد. آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است. سواحل تاماکی درایو در بندر وایتماتا، در حومه شهرهای معروف میشن بی و سنت هلییرز در اوکلند مرکزی قرار دارند. اینها سواحل خانوادگی هستند که گاهی اوقات شلوغند و دارای فروشگاه های خوبی در امتداد ساحل می‌باشند. شنا کردن بی خطر است.,مطابق با متن، شرایط شنا احتمالاً در کجا ایمن‌تر است؟,3,2,دونپورت,منطقه نورث هاربر,اوکلند مرکزی,لانگ‌بی,False
676,لطفاً به خاطر داشته باشید که اساساً در حال بازدید از محل یک گور دسته‌جمعی هستید و همچنین محلی که برای بخش قابل توجهی از مردم جهان دارای معنای تقریباً غیرقابل محاسبه ای است. هنوز مردان و زنان بسیاری هستند که از اینجا جان سالم به در برده‌اند، و بسیاری دیگر عزیزانی داشتند که در آنجا به قتل رسیده یا آنقدر کار کرده‌اند که مرده‌اند، یهودی و غیریهودی فرقی نمی‌کرد. لطفاً از این محل با تمام شأن، افتخار و احترامی که لایق آن است دیدن کنید. درباره هولوکاست یا نازی‌ها لطیفه نگویید. با نقاشی دیواری یا حک کردن روی بناها این مکان را از شکل نیندازید.,هنگام بازدید از محلی که در متن توصیف شده، کدام‌یک از موارد زیر نامناسب محسوب خواهند شد؟,1,3,جدی عمل کردن,علامت‌گذاری جایی دور محل,لطیفه گفتن درباره آن,خراشیدن یک سازه,False
678,زبانهای فرعی زبانهای مصنوعی یا ساخته شده هستند که با هدف تسهیل ارتباط بین مردمی ساخته شده‌اند که بدون آنها در برقراری ارتباط مشکل دارند. آنها مجزا از زبان میانجی مجزا هستند، که عبارتند از زبان‌هایی طبیعی یا ارگانیک که بنا به دلیل یا دلایلی به عنوان یک وسیله ارتباطی بین گویشگران سایر زبانها غالب می‌شوند.,کدام عبارت به‌طور دقیق توصیف‌کننده زبان‌های فرعی نیست؟,3,2,آنها زبان‌های ارگانیکی هستند که برای تسهیل ارتباط بین مردمی که از طریق دیگر یکدیگر را نمی‌فهمند استفاده می‌شوند,آنها زبان‌هایی هستند که هم طبیعی و هم ساخته شده‌اند,آنها زبان‌هایی هستند که برای بهبود سناریوهای ارتباطی مشکل ساخته می‌شوند ,زبان‌های ایجادشده‌ای هستند که بین گویش‌ورهای زبان‌های مختلف غالب است,False
